title	url	bucket	genre	difficulty
Jakub Destro	https://www.youtube.com/@JakubDestro/videos	gaming	Video Games, Gameplay	Intermediate
segment	https://www.youtube.com/@tohlejesegment/videos	news	Infotainment	Intermediate
AtiShow	https://www.youtube.com/@AtiShow/videos	food	Food, Reactions, Cooking	Intermediate
Katazee	https://www.youtube.com/@katazee/videos	lifestyle	Makeup, ASMR	Intermediate
Michal Šrajer	https://www.youtube.com/@michal.srajer/videos	tech	Technology, Tech	Intermediate
Kluci z Prahy	https://www.youtube.com/@KlucizPrahy/videos	travel	Travel, Food, Czech Republic	Intermediate
HouseBox	https://www.youtube.com/@HouseBoxCZ/videos	reaction	Reactions, Gameplay, Pop Culture, YouTube	Intermediate
Lenka in Sweden	https://www.youtube.com/@lenickabre/videos	vlog	Vlog, Fashion, Comentary	Intermediate
seznam starších českých filmů	https://www.youtube.com/playlist?list=PLLcZN1IVmyUOWW7sUSsa7ki-9ME7gPeKt	culture	Movies	Intermediate
Honza Hrouda	https://www.youtube.com/@ment3/videos	gaming	Video Games, Gameplay	Intermediate
Adam Dušek	https://www.youtube.com/@AdamDusek/videos	news	Infotainment, Self Improvement, Economics	Intermediate
